x,y
637.94,2665.43
639.62,476.46
640.81,473.53
641.32,2825.15
641.51,3322.91
649.44,3010.35
650.14,2881.19
650.95,2999.48
651.02,3009.35
652.81,3002.26
654.54,3008.21
657.42,301.67
657.47,3012.07
658.99,3006.62
660.89,3016.09
661.42,3005.06
662.11,685.76
664.64,504.65
665.92,688.44
667.23,4068.3
669.41,691.33
671.44,609.43
672.03,2997.83
672.21,4077.02
677.34,3394.51
680.59,2871.09
682.07,3384.42
682.78,3384.87
683.87,3588.67
684.2,3389.34
686.61,3601.8
686.81,3586.59
687.5,3593.48
687.56,367.62
688.13,365.85
689.0,2988.09
689.97,341.61
690.63,3923.69
691.0,3598.33
692.75,2752.81
692.82,345.76
693.08,2984.84
694.86,3927.08
697.53,3929.57
697.55,2608.26
697.63,361.03
698.82,344.35
698.85,2982.98
700.18,354.22
700.78,339.08
702.4,3090.26
705.89,936.19
707.59,523.28
707.88,3294.34
708.85,367.01
713.38,799.91
715.51,3586.85
715.55,907.01
715.74,2938.31
715.78,800.0
720.34,2967.37
720.37,3437.53
722.78,805.04
723.4,194.5
723.66,2968.43
723.77,2952.87
724.94,3557.69
729.17,3452.2
729.42,203.11
731.8,206.29
734.47,902.71
736.02,184.5
736.17,399.12
736.25,847.05
736.82,2999.57
739.07,223.45
739.1,223.49
741.25,811.66
742.35,192.76
743.79,2984.49
744.64,824.74
746.75,2854.84
747.19,201.87
749.76,190.02
750.28,191.11
750.72,217.17
753.79,2009.68
754.76,3559.18
756.5,819.47
761.41,749.66
763.2,2129.27
769.0,3548.4
775.95,758.64
776.79,762.05
777.36,753.4
779.02,3522.56
779.53,770.73
779.71,3054.0
780.62,765.4
790.8,465.13
791.73,694.89
792.11,3043.83
796.81,2828.28
797.4,839.41
800.88,2927.09
801.59,2927.63
804.06,4156.37
804.67,3990.28
806.32,707.18
806.5,2925.96
810.41,694.11
812.0,3989.06
812.92,639.48
816.74,3998.4
817.67,2940.0
820.68,496.24
822.58,2253.72
822.86,2031.55
823.03,2254.43
823.57,2252.96
824.84,2133.27
825.31,4003.49
826.22,2126.93
826.68,2913.62
826.84,2120.93
827.02,2123.77
827.64,646.87
828.44,2912.42
828.95,4163.05
831.74,2889.95
832.43,2893.25
833.68,2896.83
835.76,2909.56
838.93,2374.73
843.01,3106.73
843.38,2905.9
845.97,2904.71
847.08,335.28
849.05,4019.68
850.21,1906.24
851.27,537.72
851.41,4157.65
851.82,3813.74
852.26,574.3
852.54,3496.78
853.11,4023.1
853.98,3501.33
854.19,4022.74
855.84,3481.07
856.21,561.01
857.41,3473.67
857.72,490.49
858.54,4026.54
860.82,3699.99
862.28,3901.05
867.44,456.47
868.35,3137.43
870.94,3166.37
871.87,165.43
875.29,852.97
876.03,2486.83
876.51,3535.1
877.9,880.65
879.15,4139.13
879.89,2475.34
882.92,456.6
883.19,2483.96
887.79,2493.24
887.87,592.73
887.88,3449.12
888.01,2482.68
890.42,2481.34
891.06,157.34
892.25,595.88
893.28,595.96
893.91,1446.33
894.11,1447.28
896.72,1903.72
899.22,4050.04
901.34,4051.46
901.78,3457.67
902.48,4051.67
904.64,4121.44
911.05,3433.99
911.73,1439.58
911.98,1454.91
913.02,611.32
913.04,1437.77
913.13,1439.47
913.36,1749.42
916.2,3736.33
916.21,1458.87
916.67,1458.2
918.52,2203.51
920.74,320.66
920.99,3445.03
925.23,2463.54
925.27,3614.77
928.51,4068.64
929.58,4068.71
931.12,4069.37
933.92,555.05
934.04,253.4
938.35,311.54
942.41,287.23
943.39,1471.45
943.84,3873.81
943.95,267.31
944.35,3825.35
945.75,1471.73
947.08,3825.92
950.37,123.15
950.41,289.51
950.9,3827.35
951.59,3421.83
957.19,3272.52
960.51,274.11
962.72,273.4
963.3,296.76
967.4,3670.62
967.76,1492.64
969.96,1494.46
970.84,1506.99
971.38,1501.15
971.81,2836.72
971.97,1497.57
972.7,2835.94
974.05,313.16
975.83,1494.2
975.84,2835.52
976.44,1492.72
978.2,958.1
978.49,1504.51
979.22,2834.41
982.5,1481.2
983.74,1967.58
983.76,1745.47
984.54,4098.51
985.0,3391.38
985.3,2067.02
985.83,1477.86
986.02,963.09
987.12,2016.9
987.84,2019.08
988.3,1900.19
988.55,1738.35
988.94,1474.65
990.36,1735.74
991.14,2021.05
991.54,3880.75
991.86,2201.89
992.0,2196.71
992.19,1733.4
994.34,3293.99
995.42,2125.91
996.87,2424.61
996.99,3882.45
997.88,2201.03
997.96,2413.79
1000.88,3831.53
1003.36,500.38
1003.59,2205.33
1003.71,2200.17
1004.36,313.61
1004.52,500.82
1008.54,3376.76
1008.89,2422.11
1009.78,2386.5
1013.66,3380.91
1015.78,3472.37
1015.8,3344.15
1018.6,4117.35
1019.06,3709.29
1019.75,3470.01
1022.46,485.9
1023.33,4121.03
1023.35,2926.35
1023.65,3467.9
1025.62,4123.53
1026.68,3334.51
1028.11,4124.8
1030.21,1898.26
1034.24,989.64
1039.05,3885.55
1039.66,3361.15
1040.26,212.63
1040.67,2790.8
1041.86,365.45
1046.29,3898.89
1046.36,2780.17
1053.56,3389.14
1055.94,3904.91
1057.4,4141.28
1058.71,3842.58
1061.68,454.74
1061.85,1665.79
1066.21,3338.48
1066.29,2773.75
1066.62,3435.43
1066.97,447.78
1067.62,2463.8
1067.73,1005.56
1067.94,2772.44
1068.59,1584.51
1069.0,3819.94
1069.67,3744.97
1070.52,1348.37
1070.99,1347.19
1071.65,2768.56
1073.59,1345.18
1076.36,1342.44
1076.93,2797.27
1077.57,3841.05
1077.66,3839.48
1081.56,3841.4
1082.83,3327.99
1084.11,424.86
1088.78,3422.26
1097.51,442.94
1100.62,2844.72
1100.9,1612.66
1102.13,1627.76
1102.66,1021.49
